"cl1","cl2","cl3","cl4","cl5","cl6","cl7"
NA,NA,NA,"DNAJC8","TBL1X","MRC2",NA
NA,NA,NA,"FTL","UBR5","CASC4",NA
NA,NA,NA,"CRIPT","EPG5","FRMD4A",NA
NA,NA,NA,NA,"BAZ2B","MT-ND5",NA
NA,NA,NA,NA,"AVL9","IGF1R",NA
NA,NA,NA,NA,"NPAS2","TFPI",NA
NA,NA,NA,NA,"FOXO3","ATP1A1",NA
NA,NA,NA,NA,"NABP1","GPC6",NA
NA,NA,NA,NA,"ARHGAP10","IMMP2L",NA
NA,NA,NA,NA,"CCDC14","DDR2",NA
NA,NA,NA,NA,"GNAQ","TIPARP",NA
NA,NA,NA,NA,"MAP4K3","DKK3",NA
NA,NA,NA,NA,"GULP1","SLC20A2",NA
NA,NA,NA,NA,"NFAT5","RASSF8",NA
NA,NA,NA,NA,"ST5","M6PR",NA
NA,NA,NA,NA,"SIK3","MMP2",NA
NA,NA,NA,NA,"MON2","PLCB4",NA
NA,NA,NA,NA,"NBAS","FCHSD2",NA
NA,NA,NA,NA,"EGFR","BGN",NA
NA,NA,NA,NA,"ALCAM","UGGT2",NA
NA,NA,NA,NA,"CMIP","CD164",NA
NA,NA,NA,NA,"ITGB1-DT","NTM",NA
NA,NA,NA,NA,"NUMB","PARD3B",NA
NA,NA,NA,NA,"MBNL1","HAS2",NA
NA,NA,NA,NA,"MED13","PLEC",NA
NA,NA,NA,NA,"REV3L","NPEPPS",NA
NA,NA,NA,NA,"MSC-AS1","STT3A",NA
NA,NA,NA,NA,"PHLDB2","CLIP2",NA
NA,NA,NA,NA,"PDE8A","PRRC2B",NA
NA,NA,NA,NA,"IGF2BP2","ITM2B",NA
NA,NA,NA,NA,"WDFY2","ANGPTL4",NA
NA,NA,NA,NA,"NRIP1","USP9X",NA
NA,NA,NA,NA,"E2F7","SGIP1",NA
NA,NA,NA,NA,"ROBO1","CD44",NA
NA,NA,NA,NA,"MCC","IL4R",NA
NA,NA,NA,NA,"FOXP1","NPAS2",NA
NA,NA,NA,NA,"OXR1","NAMPT",NA
NA,NA,NA,NA,"PTBP3","TTC17",NA
NA,NA,NA,NA,"SEMA3C","SPTAN1",NA
NA,NA,NA,NA,"SRPK2","MT-CO3",NA
NA,NA,NA,NA,"PUM2","MYO10",NA
NA,NA,NA,NA,"MAN2A1","FER",NA
NA,NA,NA,NA,"USP47","VPS13B",NA
NA,NA,NA,NA,"CREB3L2","CFH",NA
NA,NA,NA,NA,"TLE4","VSIR",NA
NA,NA,NA,NA,"ADNP","AGAP1",NA
NA,NA,NA,NA,"ITSN1","BTBD9",NA
NA,NA,NA,NA,"ANKRD17","ACSL4",NA
NA,NA,NA,NA,"CHD9","DEGS1",NA
NA,NA,NA,NA,"TBC1D5","CTNNB1",NA
NA,NA,NA,NA,"TRPM7","ITFG1",NA
NA,NA,NA,NA,"MAPKAP1","ICMT",NA
NA,NA,NA,NA,"WWC2","LAMP1",NA
NA,NA,NA,NA,"RBM6","MT-ND3",NA
NA,NA,NA,NA,"GPATCH8","CXCL8",NA
NA,NA,NA,NA,"MIR100HG","CDK14",NA
NA,NA,NA,NA,"SASH1","TMEM165",NA
NA,NA,NA,NA,"SLMAP","C1R",NA
NA,NA,NA,NA,"NAV1","TXNDC15",NA
NA,NA,NA,NA,"ELL2","NUCB1",NA
NA,NA,NA,NA,"ZMYM2","MT-ND2",NA
NA,NA,NA,NA,"GSK3B","RASA2",NA
NA,NA,NA,NA,"SYNE1","PIGT",NA
NA,NA,NA,NA,"MAP3K5","PCNX1",NA
NA,NA,NA,NA,"AFAP1","TNS1",NA
NA,NA,NA,NA,"NEK7","TRIP12",NA
NA,NA,NA,NA,"NTM","SEMA3C",NA
NA,NA,NA,NA,"CDC42BPA","LHFPL2",NA
NA,NA,NA,NA,"MYOCD","GLS",NA
NA,NA,NA,NA,"BICC1","TRIP11",NA
NA,NA,NA,NA,"SPECC1L","LPAR1",NA
NA,NA,NA,NA,"ZFPM2-AS1","BMPR2",NA
NA,NA,NA,NA,"SPRED2","TAPBP",NA
NA,NA,NA,NA,"CTBP2","ITGB5",NA
NA,NA,NA,NA,"TBL1XR1","MSRB3",NA
NA,NA,NA,NA,"RBMS1","NCKAP5",NA
NA,NA,NA,NA,"PTPN14","SQLE",NA
NA,NA,NA,NA,"USP32","ATP6AP2",NA
NA,NA,NA,NA,"FCHSD2","SYNE1",NA
NA,NA,NA,NA,"UGGT2","WDFY3",NA
NA,NA,NA,NA,"VGLL4","ANO6",NA
NA,NA,NA,NA,"SMG6","HIVEP2",NA
