Mixture	myCAF	SLC14A1+ FB	AP-1+ FB	PI16+ FB	ISG+ FB	dCAF	FRC	ASPN+ FB	SMC	Pericytes	Urothelial	P-value	Correlation	RMSE	Absolute score (sig.score)
U0118	0.285900177349026	0.175989790006287	0.104928479672089	0.0917171694438887	0.070936185680459	0.0315643961122714	0.0294394258638957	0.0237854177566762	0.203510652218458	0.125969739011229	0.00853856688571916	9999	0.100870349400523	1.00149363968262	1.15228
U0119	0.235910146396515	0.126597987268145	0.0945850136950233	0.0860422864754262	0.0509548530905479	0.0549956861251145	0.0207608874895769	0.0169313184767723	0.176677379006877	0.105477377095038	0.00876906488096481	9999	0.0777064243015153	1.00155872939649	0.977702
U0120	0.264811540020235	0.127185289292287	0.0986690633186923	0.0989688282815534	0.0592156787100414	0.0702148030502638	0.030167357393918	0.0203083852805383	0.199823945318285	0.114424666713568	0.00843044262061833	9999	0.0868796240819034	1.00069019921612	1.09222
U0121	0.187345242054804	0.108174147672726	0.0682125839656099	0.0605086333607878	0.0485938676384306	0.024690668192517	0.0277626299996068	0.0121356212104024	0.137087145804439	0.0841795947999613	0.00657786530071559	9999	0.0796056170874281	1.00218197908545	0.765268
U0122	0.196788914700766	0.114259895094328	0.0698957052511681	0.0642560387513908	0.0417549714089981	0.0289597700789819	0.0169873646087285	0.0157881329103747	0.136024257916101	0.0847321977223213	0.00741175155684168	9999	0.0861130773193433	1.00196348620415	0.776859
U0125	0.176729058108979	0.0986411733412915	0.0620335545655435	0.0563698977448401	0.0422767829178782	0.019387618316757	0.0229210134609837	0.0112484395075523	0.126459266290191	0.0807543178433735	0.00643787790261001	9999	0.125635250595604	1.00090115947254	0.703259
U0126	0.324278942376524	0.159387658538284	0.128084042897529	0.104435219175766	0.0657769828947014	0.0494345006683725	0.0299928486482801	0.0214672011530631	0.230101587578404	0.145422492132011	0.0134785239370646	9999	0.0629187053891625	1.00328136447848	1.27186
U0128	0.664675081527966	0.34751781494817	0.245396272803652	0.242645516026345	0.136442922702678	0.0959300476361087	0.0765009431670805	0.0466367134808992	0.468594016877626	0.314823950722435	0.0215867201070394	9999	0.108148438938896	1.00164457230098	2.66075
U0129	0.690893261945568	0.336532993844674	0.208139992396665	0.211728485827874	0.133923963676664	0.0617341664711957	0.0750204006772903	0.0530200750882598	0.443280973186579	0.270635621233605	0.0178600656516241	9999	0.127515113439524	1.00181228096911	2.50277
U0130	0.561825063072539	0.311148357504779	0.171954636188942	0.219197777499784	0.113837314025069	0.0501898721901512	0.0599727953035308	0.03832340018328	0.38504048751721	0.241274789707419	0.0152955068072961	9999	0.18400297491492	0.998945614022382	2.16806
